ID,Aforyzm,Średnia,Ilość liczb
0,"Czas to najlepszy nauczyciel, niestety zabija wszystkich swoich uczniów",,
1,"Szczęście to jedyna rzecz, która się mnoży, gdy się ją dzieli",,
2,"Milczenie bywa często najcięższą odpowiedzią",,
3,"Nie ten jest mądry, kto wiele wie, lecz ten, kto z wiedzy umie korzystać",,
4,"Prawdziwej przyjaźni czas nie zniszczy",,
5,"Szczęście to nie stacja, do której przyjeżdżasz, lecz sposób podróżowania",,
6,"Zasady są po to, by je łamać",,
7,"Kto się nie rozwija, ten się cofa",,
8,"Człowiek jest tyle wart, ile może dać innym",,
9,"Wszystko jest możliwe, jeśli tylko uwierzysz",,
10,"W życiu ważne są tylko chwile",,
11,"Miłość jest wtedy, gdy cieszy cię szczęście drugiego człowieka",,
12,"Marzenia się nie spełniają, marzenia się spełnia",,
13,"Kto się nie boi, ten żyje naprawdę",,
14,"Najtrudniej jest zacząć, potem jest już tylko łatwiej",,
15,"Najpiękniejsze są rzeczy, których nie da się zobaczyć",,
16,"Lepiej późno niż wcale",,
17,"Gdyby nie było ciemności, nie docenialibyśmy światła",,
18,"Nic nie jest niemożliwe",,
19,"Życie jest piękne, jeśli pozwolisz mu takim być",,
20,"Nie ma sytuacji bez wyjścia",,
21,"Cierpienie uszlachetnia",,
22,"Czas leczy rany",,
23,"Miłość to najlepsze lekarstwo",,
24,"Uśmiech kosztuje mniej od elektryczności, a daje więcej światła",,
25,"Kto ma przyjaciół, ten jest bogaty",,
26,"Szczęście jest wyborem",,
27,"Pracuj tak, jakbyś nie potrzebował pieniędzy",,
28,"Kochać to znaczy widzieć świat w barwach",,
29,"Każdy dzień jest nową szansą",,
30,"Wszystko ma swój czas",,
31,"Nie ma nic bardziej wartościowego niż życie",,
32,"Prawdziwe piękno kryje się w sercu",,
33,"Miłość jest niewidzialna, ale czuje się ją w sercu",,
34,"Nie patrz wstecz, idź naprzód",,
35,"Kto szuka, ten znajdzie",,
36,"Nadzieja umiera ostatnia",,
37,"Szczęście to droga, nie cel",,
38,"Każdy dzień jest nowym początkiem",,
39,"Marzenia nadają życiu sens",,
40,"Prawdziwa miłość nigdy się nie kończy",,
41,"Sukces to suma małych wysiłków powtarzanych dzień po dniu",,
42,"Człowiek jest tyle wart, ile potrafi z siebie dać",,
43,"Wszystko co najlepsze, przychodzi niespodziewanie",,
44,"Nie ma nic cenniejszego niż czas",,
45,"Życie jest zbyt krótkie, by marnować je na rzeczy nieistotne",,
46,"Największą wartością jest zdrowie",,
47,"Miłość jest odpowiedzią na wszystko",,
48,"Kto chce, ten potrafi",,
49,"Nie ma rzeczy niemożliwych",,
50,"Najważniejsze jest, by nigdy się nie poddawać",,
51,"Życie jest sztuką wyboru",,
52,"Prawdziwe bogactwo to radość życia",,
53,"Czas płynie, ale wspomnienia pozostają",,
54,"Nie ma przypadków, są tylko znaki",,
55,"Każda chwila jest bezcenna",,
56,"Życie to najcenniejszy dar",,
57,"Najpiękniejsze rzeczy w życiu są za darmo",,
58,"Miłość nigdy nie przestaje",,
59,"Wszystko zaczyna się od marzeń",,
60,"Każdy jest kowalem swojego losu",,
61,"Prawdziwa siła tkwi w sercu",,
62,"Wszystko co piękne, rodzi się z miłości",,
63,"Sukces zaczyna się od pierwszego kroku",,
64,"Każdy dzień przynosi nowe możliwości",,
65,"Najważniejsze jest, by być sobą",,
66,"Szczęście to stan umysłu",,
67,"Każde doświadczenie czegoś nas uczy",,
68,"Miłość jest największą siłą we wszechświecie",,
69,"Prawdziwe piękno to piękno duszy",,
70,"Życie jest zbyt krótkie, by je marnować na złość",,
71,"Każdy ma w sobie coś wyjątkowego",,
72,"Prawdziwa miłość przetrwa wszystko",,
73,"Szczęście to cieszenie się z małych rzeczy",,
74,"Każda porażka jest krokiem do sukcesu",,
75,"Miłość jest kluczem do szczęścia",,
76,"Czas jest najcenniejszym skarbem",,
77,"Życie jest pełne niespodzianek",,
78,"Prawdziwe piękno tkwi w prostocie",,
79,"Szczęście to umiejętność doceniania tego, co się ma",,
80,"Każdy dzień jest szansą na nowy początek",,
81,"Najważniejsze jest, by być dobrym człowiekiem",,
82,"Miłość jest najpiękniejszym uczuciem",,
83,"Czas to najlepszy lekarz",,
84,"Życie jest jak książka, każdy dzień to nowa strona",,
85,"Prawdziwe szczęście to radość życia",,
86,"Każdy ma prawo do szczęścia",,
87,"Miłość jest darem, który warto pielęgnować",,
88,"Czas jest największym bogactwem",,
89,"Życie jest pełne kolorów, wystarczy je dostrzec",,
90,"Prawdziwe piękno to piękno serca",,
91,"Szczęście to umiejętność cieszenia się z małych rzeczy",,
92,"Każdy dzień jest wyjątkowy",,
93,"Najważniejsze jest, by być szczęśliwym",,
94,"Miłość jest najważniejsza",,
95,"Czas to największy skarb",,
96,"Życie jest pełne niespodzianek, wystarczy je dostrzec",,
97,"Prawdziwe szczęście to radość serca",,
98,"Każdy ma w sobie coś pięknego",,
99,"Miłość to najpiękniejsze, co może nas spotkać",,
